Row,significant_centiles_681,significant_centiles_682
lh_GM_bankssts,0.413843907883259,0.413843907883259
lh_GM_caudalanteriorcingulate,0.506015653492065,NaN
lh_GM_caudalmiddlefrontal,0.422744150989932,0.422744150989932
lh_GM_cuneus,0.398308822603663,0.398308822603663
lh_GM_entorhinal,0.545864186143921,NaN
lh_GM_frontalpole,0.488832815265548,NaN
lh_GM_fusiform,0.424559240396142,0.424559240396142
lh_GM_inferiorparietal,0.417468325950767,0.417468325950767
lh_GM_inferiortemporal,0.452858885194993,0.452858885194993
lh_GM_insula,0.394052679469481,0.394052679469481
lh_GM_isthmuscingulate,0.397089111532463,0.397089111532463
lh_GM_lateraloccipital,0.37111961667257,0.37111961667257
lh_GM_lateralorbitofrontal,0.4184494306445,0.4184494306445
lh_GM_lingual,0.386713192752442,0.386713192752442
lh_GM_medialorbitofrontal,0.432898707657094,0.432898707657094
lh_GM_middletemporal,0.433717552736834,0.433717552736834
lh_GM_paracentral,0.452475870384526,0.452475870384526
lh_GM_parahippocampal,0.442285029357454,0.442285029357454
lh_GM_parsopercularis,0.428438652885456,0.428438652885456
lh_GM_parsorbitalis,0.409726144268575,0.409726144268575
lh_GM_parstriangularis,0.445261226330865,0.445261226330865
lh_GM_pericalcarine,0.424613305328473,0.424613305328473
lh_GM_postcentral,0.397433136697641,0.397433136697641
lh_GM_posteriorcingulate,0.427844705792614,0.427844705792614
lh_GM_precentral,0.400952234178973,0.400952234178973
lh_GM_precuneus,0.401330156694102,0.401330156694102
lh_GM_rostralanteriorcingulate,0.500851731165008,NaN
lh_GM_rostralmiddlefrontal,0.39095853980723,0.39095853980723
lh_GM_superiorfrontal,0.381195305226344,0.381195305226344
lh_GM_superiorparietal,0.438753005071057,0.438753005071057
lh_GM_superiortemporal,0.383987460743035,0.383987460743035
lh_GM_supramarginal,0.402638827409698,0.402638827409698
lh_GM_temporalpole,0.491119256866292,NaN
lh_GM_transversetemporal,0.351999008936055,0.351999008936055
rh_GM_bankssts,0.386199507549165,0.386199507549165
rh_GM_caudalanteriorcingulate,0.40906741129238,0.40906741129238
rh_GM_caudalmiddlefrontal,0.438865685154983,0.438865685154983
rh_GM_cuneus,0.415318208479052,0.415318208479052
rh_GM_entorhinal,0.538583780150638,NaN
rh_GM_frontalpole,0.471896540698415,NaN
rh_GM_fusiform,0.430107864828551,0.430107864828551
rh_GM_inferiorparietal,0.413893498261811,0.413893498261811
rh_GM_inferiortemporal,0.485521136643577,NaN
rh_GM_insula,0.420302476507655,0.420302476507655
rh_GM_isthmuscingulate,0.442041419513901,NaN
rh_GM_lateraloccipital,0.371341677718991,0.371341677718991
rh_GM_lateralorbitofrontal,0.411299923579406,0.411299923579406
rh_GM_lingual,0.400175864362708,0.400175864362708
rh_GM_medialorbitofrontal,0.43412618816246,0.43412618816246
rh_GM_middletemporal,0.393505058849445,0.393505058849445
rh_GM_paracentral,0.456630065890829,NaN
rh_GM_parahippocampal,0.434144174210424,0.434144174210424
rh_GM_parsopercularis,0.460968314976758,NaN
rh_GM_parsorbitalis,0.413406685843846,0.413406685843846
rh_GM_parstriangularis,0.448310666557321,NaN
rh_GM_pericalcarine,0.43070252206103,0.43070252206103
rh_GM_postcentral,0.402288413025374,0.402288413025374
rh_GM_posteriorcingulate,0.436164587900176,0.436164587900176
rh_GM_precentral,0.394944001958613,0.394944001958613
rh_GM_precuneus,0.40754915437867,0.40754915437867
rh_GM_rostralanteriorcingulate,0.406885484513977,0.406885484513977
rh_GM_rostralmiddlefrontal,0.402447855040214,0.402447855040214
rh_GM_superiorfrontal,0.410347979966165,0.410347979966165
rh_GM_superiorparietal,0.406082652268266,0.406082652268266
rh_GM_superiortemporal,0.382169871432703,0.382169871432703
rh_GM_supramarginal,0.395814702955217,0.395814702955217
rh_GM_temporalpole,0.489295210312862,NaN
rh_GM_transversetemporal,0.37718432831384,0.37718432831384
